horizon,bh,up95,low95,seh
-3,.0028843365,.099313088,-.093544416,.049198344
-2,-.013296524,.039780159,-.066373207,.02707994
-1,0,0,0,0
0,.032195371,.11279993,-.048409186,.041124776
1,.13922697,.29361022,-.015156268,.078766957
2,.22940589,.41039312,.048418671,.092340417
3,.36354595,.55694598,.17014596,.09867347
4,.39193398,.62152594,.16234201,.11713876
5,.3225697,.60231507,.042824343,.14272723
6,.33266711,.60277605,.062558182,.13781068
7,.35107026,.67026305,.031877447,.16285348
8,.34219912,.75168175,-.067283511,.2089197
9,.20924389,.54477227,-.12628449,.17118795
