horizon,bh,up95,low95,seh
-3,.013743329,.10239694,-.074910283,.045231435
-2,.029641466,.067853086,-.0085701542,.019495724
-1,0,0,0,0
0,.013703855,.081072226,-.05366452,.034371618
1,-.010085539,.14219002,-.1623611,.077691615
2,.054796115,.21738097,-.10778873,.082951456
3,.30867246,.57553506,.041809853,.13615438
4,.39447153,.85221785,-.063274786,.23354404
5,.38370633,1.0376041,-.27019137,.33362129
6,.19005606,.85240185,-.47228971,.33793151
7,.46633023,1.3146307,-.38197023,.43280637
8,.77487534,1.9719838,-.42223307,.61076963
9,.91674161,2.3700218,-.53653854,.7414695
