horizon,bh,up95,low95,seh
-3,.23946787,.70705485,-.22811912,.23856479
-2,.49208024,.97275096,.011409508,.24524017
-1,0,0,0,0
0,-.66520506,-.13359334,-1.1968168,.27123046
1,.07199242,.53718573,-.39320087,.23734352
2,.64329129,1.1429057,.14367692,.25490528
3,.37741652,.79532409,-.040491041,.21321814
4,-.06054065,.34463125,-.46571258,.20672037
5,.50692159,.93878746,.075055726,.22033973
6,.45979828,.97815996,-.05856343,.26447025
7,.4319233,1.0451444,-.18129788,.31286794
8,.31071192,.95907849,-.33765462,.33079925
9,.54818153,.98936194,.1070011,.22509205
