horizon,bh,up95,low95,seh
-3,.027847676,.065798692,-.010103339,.019362763
-2,.013252345,.036391683,-.009886995,.011805786
-1,0,0,0,0
0,-.0073498702,.0028930262,-.017592767,.0052259676
1,-.0088467225,.0099241883,-.027617633,.0095769949
2,.010092625,.043140952,-.022955701,.01686139
3,.0047529973,.044696718,-.035190724,.02037945
4,.0054631727,.04732091,-.036394563,.021355988
5,.0067074928,.053669594,-.040254612,.023960257
6,.018481513,.064206809,-.027243784,.023329234
7,-.025958089,.048876926,-.10079311,.03818113
8,-.038072672,.039529204,-.11567455,.039592795
9,-.017244162,.073477224,-.10796554,.046286423
