horizon,bh,up95,low95,seh
-3,.015778279,.015778279,.015778279,0
-2,.0075142435,.0075142435,.0075142435,0
-1,0,0,0,0
0,.018601753,.072247528,-.035044026,.027370295
1,.053795747,.11458432,-.0069928225,.031014577
2,.033149682,.096627988,-.030328622,.032386888
3,.012421069,.090041257,-.065199122,.039602138
4,.018861309,.098056555,-.060333941,.040405739
5,.12825748,.2332245,.023290476,.053554595
6,.083591439,.1857236,-.018540725,.052108247
7,.028901704,.14866219,-.09085878,.06110229
8,.049786385,.17216368,-.07259091,.062437396
9,.1007871,.21755156,-.015977364,.059573703
