horizon,bh,up95,low95,seh
-3,.010164618,.061485756,-.041156519,.026184253
-2,.0099241901,.04283648,-.022988098,.016791984
-1,0,0,0,0
0,-.0014566022,.031013038,-.033926245,.016566144
1,.04311214,.087427415,-.0012031374,.022609835
2,.073451512,.13507591,.011827108,.031441022
3,.087420642,.17973402,-.0048927329,.047098663
4,.076737694,.1898334,-.036358014,.057701893
5,.083150409,.23086299,-.064562164,.075363562
6,.060973436,.2085671,-.086620234,.075302891
7,.12232602,.241844,.0028080442,.060978562
8,.18267211,.38816971,-.022825468,.1048457
9,.17613414,.39431414,-.042045869,.11131633
