horizon,bh,up95,low95,seh
-3,-.026541427,.095290206,-.14837307,.062158998
-2,.052209079,.15634131,-.051923156,.05312869
-1,0,0,0,0
0,.037474468,.14812107,-.073172137,.056452349
1,.055525441,.18190461,-.070853725,.064479165
2,.045947608,.22556692,-.1336717,.091642506
3,-.015553288,.13252242,-.163629,.075548828
4,.006274201,.16383696,-.15128855,.080389157
5,-.093079679,.13387252,-.32003188,.11579194
6,-.054087337,.05035986,-.15853453,.053289384
7,-.099242032,.071733326,-.27021739,.087232322
8,-.10271221,.0671506,-.27257502,.086664699
9,-.029422604,.11924522,-.17809042,.075850926
