horizon,bh,up95,low95,seh
-3,-.0044924985,.077992305,-.086977303,.042084083
-2,-.05242328,.0089235371,-.1137701,.031299397
-1,0,0,0,0
0,.017197728,.11010594,-.075710483,.047402151
1,.15320802,.27744517,.028970873,.063386299
2,.029989878,.1905605,-.13058074,.08192379
3,.019344401,.21444216,-.17575336,.099539675
4,-.029765824,.19701289,-.25654453,.11570343
5,.01986175,.31460276,-.27487925,.15037806
6,.024571255,.27414343,-.22500092,.12733273
7,-.029571757,.26550752,-.32465103,.15055065
8,.13754733,.41837889,-.14328423,.1432814
9,.14097871,.51590252,-.2339451,.19128767
