horizon,bh,up95,low95,seh
-3,-.01296172,.022420799,-.04834424,.018052306
-2,-.0031641461,.019935522,-.026263814,.011785544
-1,0,0,0,0
0,.0083273891,.023811435,-.0071566561,.0079000229
1,.017749961,.055650085,-.020150162,.019336797
2,.040007073,.093848467,-.013834318,.027470097
3,.063120551,.13193125,-.005690143,.035107497
4,.019965002,.084023438,-.044093434,.032682877
5,.084323339,.1637345,.0049121855,.040515896
6,.065646909,.12488025,.0064135715,.030221092
7,.026337389,.088995643,-.036320865,.031968497
8,.034671634,.15085068,-.081507407,.05927502
9,.012820147,.12278318,-.097142883,.056103587
