horizon,bh,up95,low95,seh
-3,-48.623703,-48.623703,-48.623703,0
-2,-3.9462543,14.310862,-22.203369,9.3148546
-1,0,0,0,0
0,5.346889,10.64607,.047707547,2.7036641
1,1.383504,15.594639,-12.82763,7.2505789
2,-22.238119,5.0929599,-49.569199,13.944428
3,-7.5511317,23.942026,-39.044289,16.067938
4,20.901642,60.188293,-18.385008,20.044209
5,-15.757925,23.663471,-55.179321,20.112957
6,28.253294,79.862999,-23.356409,26.331482
7,63.610287,103.38055,23.840025,20.290951
8,35.632862,79.443451,-8.1777277,22.352343
9,.30159184,40.884247,-40.281063,20.705437
