horizon,bh,up95,low95,seh
-3,-2.3986733,14.710295,-19.507641,8.7290659
-2,-2.3534193,5.0922327,-9.7990713,3.7988019
-1,0,0,0,0
0,-4.3449178,6.0914574,-14.781293,5.3246813
1,-6.4612298,9.0293732,-21.951834,7.9033689
2,-18.669182,7.4633641,-44.801727,13.332932
3,-18.041071,12.632175,-48.714317,15.649615
4,-26.593727,9.2571487,-62.444603,18.291264
5,-18.585545,29.905754,-67.076843,24.740458
6,-33.82402,17.28002,-84.928062,26.07349
7,-35.749268,4.5460486,-76.044586,20.558834
8,-37.99004,-3.9566052,-72.023476,17.363997
9,-16.909636,4.9930081,-38.812279,11.174818
