horizon,bh,up95,low95,seh
-3,-.035369109,.11176068,-.18249889,.075066216
-2,.0016201446,.087858148,-.084617861,.043998983
-1,0,0,0,0
0,.099104926,.20912786,-.010918013,.056134153
1,.20315237,.36961558,.036689151,.084930211
2,.25302348,.48028967,.025757292,.11595213
3,.30656782,.57687342,.036262196,.13791104
4,.28051528,.64167988,-.080649339,.18426767
5,.22714488,.67591453,-.22162476,.22896411
6,.14499712,.46049556,-.17050134,.1609686
7,.050916262,.3638539,-.26202139,.15966207
8,.082384765,.4819724,-.31720287,.20387124
9,.22476682,.6657033,-.21616966,.22496758
