horizon,bh,up95,low95,seh
-3,.18633133,.34412485,.028537814,.080506898
-2,.087240949,.19513966,-.020657767,.055050366
-1,0,0,0,0
0,.22090596,.33298689,.10882504,.057184145
1,.27188024,.41100568,.13275479,.070982374
2,.11553231,.22931403,.0017505903,.058051895
3,.089380257,.1998968,-.021136288,.05638599
4,.22779535,.37850904,.07708165,.076894745
5,.3700996,.55675697,.18344223,.095233351
6,.23677516,.37515211,.098398201,.070600487
7,.11861554,.26810065,-.03086957,.076267913
8,.089382984,.29959643,-.12083045,.10725176
9,.19198608,.35663745,.027334718,.084005795
