horizon,bh,up95,low95,seh
-3,-.11798171,.25377405,-.48973748,.18967131
-2,.010826249,.19785744,-.17620493,.095424078
-1,0,0,0,0
0,.097362995,.39499784,-.20027183,.1518545
1,.25275725,.89525437,-.38973984,.32780465
2,.41972753,1.1132107,-.27375561,.35381794
3,.68376869,1.6047587,-.23722132,.46989286
4,.62792265,1.9061043,-.65025902,.65213352
5,.52105284,2.0980749,-1.0559691,.80460304
6,-.12856336,1.3222969,-1.5794235,.74023479
7,-.17605776,1.1649121,-1.5170276,.68416828
8,-.084406994,1.2485293,-1.4173433,.68006957
9,.10149883,1.1847087,-.98171103,.55265808
