horizon,bh,up95,low95,seh
-3,.0024864567,.35285243,-.34787953,.17875816
-2,.057953313,.38938209,-.27347547,.16909631
-1,0,0,0,0
0,.22266483,.52764463,-.082314938,.15560192
1,.24348158,.73906195,-.25209877,.25284711
2,.22400077,.75872701,-.31072548,.27281952
3,.35595047,.96188897,-.24998805,.30915231
4,.081078917,.75467956,-.59252173,.3436738
5,.37588772,1.0043581,-.25258264,.32064813
6,.47557783,1.0100071,-.058851436,.272668
7,.52540272,1.1208999,-.070094459,.30382508
8,.3854157,.8382647,-.067433305,.23104541
9,.19281623,.64821076,-.26257831,.23234415
