horizon,bh,up95,low95,seh
-3,-.088777341,.27171275,-.44926745,.18392351
-2,.066091657,.41101241,-.2788291,.17597997
-1,0,0,0,0
0,-.0048552011,.31460792,-.32431832,.16299139
1,-.10163108,.42274034,-.62600249,.26753643
2,-.030202053,.47729129,-.53769541,.25892517
3,.12541084,.62991667,-.37909499,.25740093
4,-.10823339,.45525393,-.67172068,.28749353
5,.032699402,.59699035,-.53159153,.28790352
6,.12102304,.60141718,-.35937113,.24509907
7,.23764221,.76855022,-.29326582,.27087143
8,.15124054,.58053112,-.27805004,.21902581
9,.10573032,.47860301,-.26714236,.19024116
