horizon,bh,up95,low95,seh
-3,-.077824958,.55753726,-.71318722,.32416442
-2,-.060474679,.34506896,-.46601832,.20691001
-1,0,0,0,0
0,.841869,1.227983,.45575494,.19699697
1,.88985282,1.7238945,.055811174,.42553145
2,.62920171,1.6986588,-.44025534,.54564136
3,.67402083,1.8039446,-.4559029,.57649171
4,.549703,1.7486945,-.64928854,.6117304
5,.65094775,1.9780872,-.67619175,.67711198
6,.56555122,1.8516519,-.72054946,.65617383
7,.4148705,1.8637567,-1.0340157,.73922765
8,.034549497,1.7401341,-1.6710352,.87019622
9,-.019813035,1.4107803,-1.4504064,.72989458
