horizon,bh,up95,low95,seh
-3,.11549717,.42774034,-.19674601,.15930775
-2,-.026441321,.16789916,-.2207818,.099153303
-1,0,0,0,0
0,.7518521,.99694705,.50675714,.12504846
1,.98459476,1.4233555,.54583406,.22385751
2,.76340336,1.3155333,.21127342,.28169894
3,.68236905,1.3009638,.063774288,.31560957
4,.76268685,1.3999453,.12542839,.32513186
5,.78223258,1.5189945,.045470774,.37589887
6,.5399068,1.2556407,-.17582721,.36517042
7,.36789876,1.0658028,-.33000526,.35607347
8,.33678126,1.2208761,-.54731357,.45106879
9,.25416887,1.0781258,-.5697881,.42038622
