horizon,bh,up95,low95,seh
-3,-.083250679,.054433279,-.22093464,.07024692
-2,.063465424,.16286266,-.035931807,.050712872
-1,0,0,0,0
0,-.15410377,-.03294247,-.27526507,.06181699
1,-.19262794,-.055475026,-.32978085,.069975972
2,-.081960425,.091496736,-.25541759,.088498548
3,-.046759404,.143575,-.23709381,.097109385
4,-.073637687,.1534683,-.30074367,.1158704
5,-.17964461,.21814111,-.57743031,.20295189
6,-.20806246,.16621698,-.58234191,.1909589
7,-.20900102,.12260919,-.54061121,.16918889
8,-.16594063,.1463929,-.47827417,.15935384
9,-.07077843,.15970019,-.30125704,.11759113
