horizon,bh,up95,low95,seh
-3,-.073472857,.44394884,-.59089458,.26399067
-2,-.034605533,.28342003,-.35263109,.16225794
-1,0,0,0,0
0,.71597928,.97293878,.45901978,.13110179
1,.84023428,1.3612877,.31918085,.2658436
2,.63311505,1.3164519,-.050221778,.34864125
3,.5088743,1.2481334,-.23038484,.37717304
4,.5969761,1.3679082,-.17395602,.39333272
5,.53062546,1.5686921,-.50744122,.52962583
6,.21504402,1.3681371,-.93804908,.5883128
7,.078760311,1.3441993,-1.1866786,.64563215
8,-.2497316,1.3166205,-1.8160837,.79915917
9,-.20963524,1.1459596,-1.5652301,.69163001
