horizon,bh,up95,low95,seh
-3,-.05218409,.20626898,-.31063715,.13186382
-2,-.13713706,.044951484,-.31922561,.092902318
-1,0,0,0,0
0,.64838588,.86674255,.43002921,.11140646
1,.72882861,1.0758247,.38183251,.17703883
2,.54383862,.96922803,.11844919,.21703543
3,.41067609,.86595029,-.044598088,.23228274
4,.40258732,.87583375,-.070659131,.24145228
5,.22809675,.8321473,-.37595376,.30818903
6,.064979725,.68522537,-.55526596,.31645188
7,-.038857955,.53544933,-.6131652,.2930139
8,-.16785231,.44235006,-.77805471,.31132776
9,-.27423412,.30659324,-.85506147,.2963405
