horizon,bh,up95,low95,seh
-3,.0026519112,.19464429,-.18934047,.097955294
-2,-.073916867,.052477319,-.20031105,.064486831
-1,0,0,0,0
0,.078781515,.19021645,-.032653417,.056854557
1,.13091953,.35622603,-.094386965,.1149523
2,.21079925,.41534874,.0062497486,.10436199
3,.39891633,.64583832,.15199433,.12598062
4,.436562,.74872148,.12440249,.15926506
5,.3351185,.63331896,.036918014,.15214311
6,.29693994,.56598824,.027891617,.13726956
7,.33666143,.64045483,.032868035,.15499663
8,.19622503,.62756366,-.23511359,.22007073
9,.13199715,.49990901,-.23591472,.18771014
