horizon,bh,up95,low95,seh
-3,-.63625765,.1360966,-1.4086119,.39405829
-2,-.40422499,-.00020773287,-.80824226,.20613125
-1,0,0,0,0
0,.051360495,.37877691,-.27605593,.1670492
1,.21561526,.90505505,-.47382453,.35175499
2,.37378022,1.3180598,-.57049942,.48177531
3,.3007468,1.3467616,-.74526793,.53368098
4,.18335173,1.4367374,-1.0700339,.6394825
5,-.208698,1.7700233,-2.1874194,1.0095516
6,-.568106,1.6202421,-2.756454,1.1165042
7,-1.0551571,1.1184593,-3.2287734,1.1089879
8,-.65240562,1.841812,-3.1466234,1.27256
9,-.30384168,2.1294985,-2.7371819,1.2415
