horizon,bh,up95,low95,seh
-3,-.044897772,.78907847,-.87887406,.4254981
-2,-.29100734,.196104,-.77811867,.2485262
-1,0,0,0,0
0,.18159986,.6154092,-.25220948,.2213313
1,.051746923,.83789521,-.73440135,.40109605
2,.3539511,1.3336986,-.62579644,.49987116
3,.59533757,1.7246535,-.53397828,.57618159
4,.94820106,2.200676,-.30427384,.63901782
5,.78329486,1.9881538,-.4215641,.61472398
6,.8958388,2.1875288,-.39585128,.65902555
7,.51926374,2.1601098,-1.1215822,.83716631
8,-.008090158,1.0686668,-1.0848471,.54936576
9,.27286488,1.6726247,-1.126895,.71416318
