horizon,bh,up95,low95,seh
-3,-.0015010355,.012230399,-.01523247,.007005834
-2,-.00097795425,.010655917,-.012611825,.0059356485
-1,0,0,0,0
0,.01333678,.026094714,.0005788462,.0065091499
1,.028235499,.048740208,.0077307881,.010461587
2,.040201254,.066934153,.013468359,.013639233
3,.014147046,.044262383,-.015968291,.015364967
4,.019661497,.052117407,-.012794411,.016559137
5,.044843797,.080475837,.0092117582,.01817961
6,.041818067,.092009895,-.0083737588,.025608074
7,.038184643,.094329953,-.017960668,.028645568
8,.038660221,.09272337,-.015402931,.02758324
9,.047991663,.10867251,-.012689188,.030959617
