horizon,bh,up95,low95,seh
-3,-3.6248853,2.1207633,-9.3705339,2.9314535
-2,-1.1078138,1.914637,-4.1302648,1.5420667
-1,0,0,0,0
0,3.9956508,8.0715981,-.080296792,2.079565
1,5.0438991,12.362924,-2.2751253,3.7341962
2,3.2097485,7.957757,-1.5382599,2.4224532
3,4.3134146,8.848793,-.22196357,2.3139684
4,4.9618077,9.6053734,.31824237,2.3691659
5,3.9217796,10.580174,-2.7366147,3.39714
6,3.6421111,9.4114332,-2.1272109,2.9435315
7,4.0439939,14.894204,-6.8062167,5.5358219
8,.28401926,9.0023155,-8.4342766,4.4481106
9,-.86847931,14.372188,-16.109146,7.7758503
