horizon,bh,up95,low95,seh
-3,-72.059059,-72.059059,-72.059059,0
-2,12.184305,12.184305,12.184305,0
-1,0,0,0,0
0,56.374882,83.115204,29.634563,13.64302
1,68.453918,104.99137,31.916464,18.641558
2,38.904018,80.309761,-2.501724,21.12538
3,-5.2282305,-5.2282305,-5.2282305,0
4,1.4634694,1.4634694,1.4634694,0
5,90.912033,133.75177,48.0723,21.857006
6,95.596893,160.92603,30.267767,33.331188
7,98.906967,167.61092,30.203014,35.053036
8,86.518585,86.518585,86.518585,0
9,-58.552814,41.852222,-158.95786,51.227058
