horizon,bh,up95,low95,seh
-3,-6.3643837,18.306229,-31.034996,12.587047
-2,-5.7344065,7.2981548,-18.766968,6.6492662
-1,0,0,0,0
0,-8.1526566,12.889319,-29.194632,10.735702
1,-6.1698699,29.03104,-41.370781,17.959648
2,-20.638792,7.6328831,-48.910469,14.424324
3,-43.475208,3.1101413,-90.060555,23.768036
4,-61.662128,9.7323694,-133.05663,36.425766
5,-80.863075,16.185045,-177.91119,49.514347
6,-115.86519,-16.301548,-215.42883,50.797775
7,-153.91687,-17.089643,-290.74411,69.809807
8,-157.07024,-28.047684,-286.0928,65.827835
9,-127.47052,13.285192,-268.22623,71.81414
