horizon,bh,up95,low95,seh
-3,.029929874,.081302501,-.02144275,.026210522
-2,.038060393,.038060393,.038060393,0
-1,0,0,0,0
0,.018557245,.018557245,.018557245,0
1,.02791125,.080515578,-.024693079,.026838943
2,.038337346,.11193257,-.035257872,.037548583
3,.022376563,.099658728,-.054905601,.039429676
4,.05922522,.21998681,-.10153636,.082021214
5,.02708363,.051410135,.0027571234,.012411483
6,-.021666903,.0033987444,-.046732552,.012788596
7,.10447688,.20568725,.0032665159,.051637944
8,.1710168,.32144222,.020591386,.076747656
9,.11651521,.36629704,-.13326663,.12743971
