horizon,bh,up95,low95,seh
-3,-125.5929,-125.5929,-125.5929,0
-2,8.8085518,8.8085518,8.8085518,0
-1,0,0,0,0
0,62.267998,90.749519,33.786476,14.531389
1,70.064644,108.80257,31.326723,19.764246
2,21.696199,49.894745,-6.502347,14.387013
3,-12.461125,36.45005,-61.372299,24.954681
4,25.748291,25.748291,25.748291,0
5,74.723198,126.70251,22.743889,26.520056
6,123.19019,186.95842,59.421963,32.534809
7,161.50058,236.86708,86.134079,38.452293
8,126.05295,126.05295,126.05295,0
9,-60.458321,24.711704,-145.62834,43.454094
