horizon,bh,up95,low95,seh
-3,-6.394011,6.2524881,-19.04051,6.4522958
-2,-.77244651,4.5792251,-6.1241179,2.7304447
-1,0,0,0,0
0,-6.7080064,2.9582379,-16.37425,4.9317575
1,-20.604963,-3.1027923,-38.107136,8.9296789
2,-19.731647,-1.3227141,-38.140579,9.392313
3,-20.517487,2.2519553,-43.28693,11.617063
4,-16.640785,7.8846631,-41.166233,12.512984
5,-32.047779,.64218068,-64.73774,16.678551
6,-23.335691,1.3294493,-48.000832,12.584255
7,-16.390537,13.259099,-46.040173,15.127366
8,-2.8176405,36.879536,-42.514816,20.25366
9,-12.086508,3.8217533,-27.994768,8.1164598
