horizon,bh,up95,low95,seh
-3,.13997869,.3542895,-.074332103,.10934225
-2,.26531649,.4992145,.031418465,.11933573
-1,0,0,0,0
0,-.066219918,.059918832,-.19235867,.064356506
1,.045601152,.19052376,-.099321462,.073940106
2,-.032366037,.11632391,-.18105599,.075862221
3,-.17092985,-.0022129377,-.33964676,.086080059
4,-.11388703,.19962454,-.42739859,.15995488
5,.21386777,.47721058,-.049475037,.13435857
6,.15408659,.3812708,-.073097624,.11591031
7,.068308488,.36411899,-.227502,.15092371
8,-.027617829,.23832013,-.2935558,.13568263
9,.1742367,.39816898,-.049695589,.11425117
