horizon,bh,up95,low95,seh
-3,-.022321731,.01839659,-.063040055,.020774653
-2,-.039099615,-.0076046973,-.070594534,.016068835
-1,0,0,0,0
0,-.000092036782,.041051444,-.041235518,.020991573
1,.014480739,.065528162,-.036566682,.026044603
2,.068419151,.14474235,-.0079040509,.038940407
3,.17090513,.27861044,.063199811,.054951694
4,.2001794,.35512689,.045231894,.079054847
5,.2494828,.42714274,.071822837,.090642832
6,.24174292,.4422195,.041266348,.10228397
7,.22854741,.46237281,-.0052780062,.11929868
8,.20786516,.45211259,-.036382265,.12461603
9,.13709562,.46130151,-.18711028,.16541117
