horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.051079072,.1958036,-.093645453,.073839039,-.012538654,.01530148,,
-2,.051917527,.1651841,-.061349034,.057789061,-.037113264,.020621819,,
-1,0,0,0,0,0,0,,
0,.11175304,.20654327,.016962808,.048362363,.0048127989,.013846283,.018296415,.016045265
1,.032651458,.19270375,-.12740085,.081659339,.021441042,.010298093,.012539143,.027243383
2,.10882469,.34465376,-.12700437,.12032095,.020086221,.023250178,.026735283,.027212953
3,.14844328,.37915081,-.082264245,.11770792,.078746505,.03312932,.065535009,.02417543
4,.24724253,.5533191,-.058834065,.15616153,.023153169,.03388973,.029210037,.026636211
5,.37325686,.74487519,.0016385291,.18960118,-.001168113,.038060848,.016530799,.035341531
6,.22976568,.58783948,-.1283081,.18269071,.0036639953,.051123574,.014902689,.053964365
7,.050546341,.38192225,-.28082955,.16906933,-.0026910792,.0608854,-.025541345,.073165782
8,.11591997,.53638577,-.30454582,.21452336,-.014036967,.066229418,-.033822488,.081498846
9,.089361794,.51779336,-.33906975,.21858753,.0078728143,.07402128,-.016587058,.09552972
