horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.068268202,.2489717,-.1124353,.09219566,.053492505,.028191486,,
-2,.091006078,.19228475,-.010272592,.05167279,.021912668,.016107732,,
-1,0,0,0,0,0,0,,
0,.09890952,.2083111,-.010492061,.055817135,-.0063557001,.019280104,.017960237,.015415642
1,.24655101,.5106827,-.017580671,.13476107,-.009148852,.039530218,.041748878,.028934438
2,.19578806,.55105901,-.15948288,.18126068,.0083882362,.059393335,.044498093,.041291863
3,.1660659,.56945443,-.23732263,.20581047,.016946517,.071472213,.047297902,.053901382
4,.22139312,.64133698,-.19855073,.21425706,.02982093,.07298927,.061048798,.06374906
5,.46000391,.95396948,-.033961635,.25202325,.032280508,.077508509,.098719507,.0733606
6,.50637382,1.0535437,-.040796027,.27916828,.0047824699,.083414212,.080260359,.075112164
7,.47160345,1.0487467,-.10553979,.29446083,.017487563,.092889667,.081886202,.078104809
8,.43336278,1.0243307,-.15760514,.30151424,.027035704,.10093518,.080898441,.082707658
9,.53795415,1.1429284,-.067020103,.30866033,-.019582372,.097257182,.044594381,.071675651
