horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.032317836,.33295497,-.26831931,.15338629,-.06653598,.054885626,,
-2,-.075048715,.098808274,-.2489057,.088702545,-.04817735,.031586409,,
-1,0,0,0,0,0,0,,
0,.67999053,.89664716,.4633339,.11053909,-.02560197,.044169292,.10731812,.06238709
1,.7560333,1.1127506,.39931592,.18199866,-.022398055,.061646603,.11514725,.082106911
2,.6234315,1.107325,.13953802,.24688444,-.06549485,.081491821,.06096274,.085040368
3,.39624429,.97762287,-.18513431,.29662174,.011923259,.11136512,.08421766,.088454686
4,.43325523,1.0907463,-.2242358,.33545461,-.024795147,.12446759,.054189559,.088653341
5,.31406057,1.0682597,-.44013855,.38479546,-.081038058,.12812434,-.0052649048,.091812253
6,.064480379,.81309253,-.6841318,.38194498,.00046969662,.12994203,.051900499,.096405476
7,-.070269972,.62441623,-.76495618,.35443172,.029790565,.12345678,.062014256,.095612049
8,-.17060219,.53588992,-.87709427,.36045516,.002900718,.1214949,.026659131,.096106745
9,-.22212766,.45808411,-.90233946,.34704682,-.057082064,.12052963,-.026045488,.097254708
