horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.042517379,.15037048,-.065335721,.055027094,.0027744293,.0036212835,,
-2,-.012412583,.046825811,-.071650974,.030223669,.00083200884,.001768831,,
-1,0,0,0,0,0,0,,
0,.049323704,.12001275,-.021365339,.036065839,.0022121379,.0021287871,.0036293131,.0024680321
1,.14228597,.26912555,.015446387,.064714074,-.0021822974,.0042915805,.0034550163,.0044814837
2,.26873466,.45167205,.085797265,.093335405,-.011165745,.0070774369,-.00017577645,.0061900564
3,.36128712,.57920974,.14336449,.11118501,-.0094694989,.0070354715,.003810415,.0078848796
4,.42866832,.72143126,.1359054,.14936884,-.01070372,.010731254,.0068436847,.0096632894
5,.5314182,.87046385,.19237255,.17298248,-.02400418,.0099592498,-.0040522008,.0080242725
6,.51332235,.82232219,.20432252,.15765297,-.018805502,.0060616722,.0020517039,.0077249683
7,.50545669,.78365427,.2272591,.14193754,-.0067149554,.0095315464,.014266432,.007772895
8,.46221945,.88062751,.043811366,.21347351,-.0012185934,.010530828,.020267606,.0066120247
9,.33020973,.73905843,-.078638993,.20859629,-.0010101075,.012505894,.017875871,.010347804
