horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.050578166,.18839246,-.087236136,.070313416,-.0036555589,.0058557885,,
-2,-.022925558,.08334332,-.12919444,.054218818,.0059421705,.0035679231,,
-1,0,0,0,0,0,0,,
0,.089011312,.19575231,-.017729677,.054459687,-.0046101725,.0025524346,-.0023423871,.0022276728
1,.078662634,.19420916,-.036883883,.058952305,-.0014678059,.0034440148,.00032218339,.0038206738
2,.011490779,.11348081,-.09049926,.052035734,.0027838331,.0033529149,.0035507341,.0030640825
3,-.016860714,.097570248,-.13129167,.058383144,-.0031885526,.003724064,-.0017964049,.0031484151
4,.036263689,.16899095,-.096463576,.067717992,-.0032273263,.0042027351,-.0014943274,.004761097
5,.17444377,.3261672,.022720328,.077409916,-.00050373899,.0043702573,.0038268268,.0060578426
6,.1119204,.24059212,-.016751321,.065648839,-.0037079491,.0058776527,.00048883061,.0063489764
7,.080789275,.2463866,-.084808052,.084488429,-.0089817885,.0053780554,-.0060994984,.0062409579
8,.069304429,.22626489,-.087656029,.080081865,-.0039244248,.0035752829,-.0025401921,.0051293802
9,.11255313,.2557559,-.030649627,.073062636,-.0014130652,.0022959914,-.00054114801,.0046164622
