horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.16059482,.52464223,-.20345257,.18573846,-.014661984,.012323204,,
-2,.0087098787,.20927167,-.19185191,.10232744,-.0046348739,.0071008387,,
-1,0,0,0,0,0,0,,
0,.7688272,.99032903,.54732537,.11301114,-.009429805,.0087470198,.013120773,.0092597129
1,.92931825,1.3415141,.51712245,.21030399,-.012476919,.014058026,.0096697258,.013285792
2,.72834313,1.2257875,.23089877,.25379813,-.02672022,.016563147,-.0138402,.014022278
3,.70174009,1.25431,.14917015,.28192344,-.028410925,.012926064,-.018658208,.017046059
4,.53024298,1.1285892,-.068103187,.30527866,.0057999766,.021586491,.0076029915,.021391356
5,.63158482,1.4129425,-.14977293,.3986519,-.0061077513,.021948149,-.0030303942,.020005738
6,.23551141,1.0856833,-.6146605,.43376118,.0043885168,.018067144,-.0010147555,.015394453
7,-.21107644,.84763396,-1.2697868,.54015833,.020170778,.021699768,.0044599483,.017273378
8,-.22646421,.84967667,-1.302605,.54905146,.0078874091,.020066159,-.0068545202,.013584401
9,-.13201207,.74009556,-1.0041198,.44495288,-.010791366,.019671625,-.012130578,.01486225
