horizon,bh,up95,low95,seh
-3,.14310125,.36000139,-.073798887,.11066333
-2,.047600407,.2095414,-.11434058,.082622953
-1,0,0,0,0
0,.070903033,.41469812,-.27289206,.17540567
1,.17386977,.76978576,-.42204621,.30403876
2,-.05138519,.64617723,-.74894762,.35589921
3,.18329431,.9851805,-.61859185,.4091256
4,.068404004,.90547305,-.76866508,.42707604
5,.07984446,.62963897,-.46995008,.28050742
6,.38788387,.90449125,-.12872349,.2635752
7,.23536691,.68406671,-.21333288,.22892846
8,.060445495,,,
9,.026761644,,,
