horizon,bh,up95,low95,seh
-3,-.96847695,1.0371158,-2.9740698,1.0232617
-2,-.39288378,.58356428,-1.3693318,.49818781
-1,0,0,0,0
0,1.3103659,2.0352535,.58547831,.36984059
1,1.82251,3.2354617,.40955842,.72089368
2,1.6813797,3.7098398,-.34708038,1.0349286
3,1.1184381,3.3589849,-1.1221087,1.1431361
4,.75003129,3.2232277,-1.7231653,1.261835
5,.83942437,4.5709014,-2.8920529,1.9038149
6,-.07174293,4.4266839,-4.5701699,2.2951157
7,-.89156359,3.9856286,-5.7687559,2.4883635
8,-2.7861485,2.1985905,-7.7708874,2.5432341
9,-2.5932617,3.0542848,-8.2408085,2.8814013
