horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.0087067923,.1466848,-.12927121,.070396937,.0076511977,.049295444,,
-2,.0032153341,.072344482,-.065913811,.035269972,.017653471,.026575344,,
-1,0,0,0,0,0,0,,
0,-.032850042,.052041702,-.11774179,.043312114,-.024745289,.027430711,-.010928341,.027015405
1,.078695878,.24100831,-.083616547,.082812466,.0027060958,.061247427,.015925398,.060638499
2,.20411497,.38521749,.023012459,.09239924,-.045712788,.082488701,-.027339544,.083859906
3,.3376196,.59312928,.082109898,.13036209,.035174873,.10247183,.061992276,.10429896
4,.27197841,.55480403,-.010847211,.14429879,.071697421,.12399202,.090646192,.12620413
5,.3572976,.65195817,.062637039,.15033703,.16218704,.14385618,.20301928,.14293322
6,.24135014,.51400208,-.031301815,.13910814,.26694614,.16323033,.32094479,.15959141
7,.19327493,.4815259,-.094976038,.14706682,.28352928,.16805527,.34237838,.16653086
8,.061787706,.47761768,-.35404226,.21215814,.29226869,.18518847,.34273288,.18354931
9,.046815112,.53503567,-.44140545,.24909212,.21778654,.19140488,.25577685,.19001001
