horizon,bh,up95,low95,seh
-3,-.030550437,.10209476,-.16319564,.067676127
-2,.011651502,.060843542,-.037540536,.025097979
-1,0,0,0,0
0,-.0049640369,.05873872,-.068666793,.032501407
1,.11454375,.26539776,-.036310263,.07696633
2,.2380141,.42513889,.050889317,.095471829
3,.36026141,.62283188,.097690962,.13396451
4,.32001147,.59104043,.048982516,.13828008
5,.35794929,.65006942,.065829158,.14904088
6,.24480997,.57923567,-.089615755,.17062537
7,.15925957,.54025072,-.22173154,.19438322
8,.065391533,.59209377,-.46131068,.2687256
9,.068726577,.64030343,-.50285029,.29162085
