horizon,bh,up95,low95,seh
-3,.034374516,.1597279,-.090978868,.063955806
-2,-.01429252,.057892222,-.086477257,.03682895
-1,0,0,0,0
0,-.074138775,.013355955,-.16163351,.044640169
1,-.094004281,.014880056,-.20288862,.055553231
2,-.17799142,-.053611688,-.30237114,.063459046
3,-.29029664,-.099956892,-.48063639,.097112119
4,-.25847706,-.016896741,-.5000574,.12325527
5,-.24721359,.026387637,-.52081484,.13959247
6,-.14983085,.10638162,-.40604332,.13072065
7,-.030889831,.2264455,-.28822517,.13129354
8,.019770605,.37069672,-.33115551,.17904393
9,-.06088708,.27040666,-.3921808,.16902742
