horizon,bh,up95,low95,seh
-3,.0068580033,.11834585,-.10462984,.056881554
-2,.025508011,.12032699,-.069310971,.04837703
-1,0,0,0,0
0,.049534276,.14098868,-.041920122,.046660408
1,.052165631,.14951481,-.045183539,.049667943
2,.034040935,.13207883,-.063996948,.050019331
3,-.018851478,.10948814,-.14719111,.065479398
4,.01519959,.15383169,-.12343251,.070730664
5,.17732091,.36132321,-.0066813813,.093878724
6,.13074584,.31814682,-.056655135,.095612742
7,.095046684,.27528629,-.085192926,.091958985
8,.10013171,.27848849,-.078225061,.090998352
9,.16913189,.33504468,.0032190946,.084649384
