horizon,bh,up95,low95,seh
-3,.082735464,.21088448,-.045413557,.065382153
-2,.087696433,.16211864,.013274216,.037970521
-1,0,0,0,0
0,.097184993,.18323155,.011138441,.043901302
1,.26408947,.45830843,.069870502,.099091306
2,.2556085,.50843179,.0027851935,.12899148
3,.28971153,.59463108,-.015208034,.15557121
4,.35574988,.69883019,.012669574,.17504098
5,.62696552,1.0752125,.17871861,.2286974
6,.63892388,1.1425023,.13534552,.25692773
7,.61149645,1.1133817,.1096112,.25606391
8,.57418668,1.1422369,.0061364449,.28982154
9,.64712936,1.2245973,.069661349,.29462653
