horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,-.3632662,-.13503079,-.59150159,.11644664,-.19277671,.74274433,,
-2,-.057252087,.31568095,-.43018514,.19027196,.55620211,.50012469,,
-1,0,0,0,0,0,0,,
0,-.02015648,.18506767,-.22538063,.1047062,.2344155,.2017643,.50778991,.20991164
1,.15675566,.76428497,-.45077363,.30996391,-.15660937,.78770053,.15600228,.71563739
2,.15232503,.7838251,-.479175,.32219389,-.53868538,.71147662,-.48609376,.6741609
3,.35446244,1.0648253,-.35590044,.36243004,-.98534262,1.0315772,-1.2163264,.94736809
4,.12305424,.91507757,-.66896909,.40409353,-.8412118,1.6201226,-1.1374646,1.494063
5,.57256788,1.28901,-.14387423,.36553168,.10491884,1.5048482,-.43336672,1.4831994
6,.53314829,1.152784,-.086487465,.31614068,1.7450072,1.6305827,.94774675,1.5927144
7,.5093714,1.1332837,-.11454091,.3183226,2.0110655,1.3940254,1.6769662,1.3897058
8,.42706141,1.0330005,-.17887767,.3091526,1.9463366,1.6169701,1.6899573,1.556169
9,.24492493,.86061788,-.37076801,.31412905,1.5761652,1.6627928,1.246791,1.5827824
